Simulation results for substrates contain 60-nodes
state; 1-success, 2-rejected by pre-matching, 3-rejected by node mapping, 4-rejected by edge mapping

req	state	 maptime
947   	3   	0.001717
948   	3   	0.001785
949   	3   	0.002911
950   	1   	0.009396
951   	4   	0.070235
952   	1   	0.136987
953   	4   	0.310596
954   	4   	0.628946
955   	4   	0.519166
956   	4   	0.613715
957   	4   	0.851415
958   	3   	0.057520
959   	3   	0.299964
960   	3   	0.402871
961   	3   	0.060925
962   	3   	0.001011
963   	3   	0.000977
964   	3   	0.001313
965   	3   	0.001097
966   	3   	0.001279
967   	3   	0.001276
968   	3   	0.001359
969   	3   	0.001922
970   	3   	0.002204
971   	3   	0.001993
972   	3   	0.001649
973   	3   	0.002053
974   	3   	0.002216
975   	1   	0.006319
976   	4   	0.159343
977   	4   	0.340082
978   	4   	0.411152
979   	4   	0.689292
980   	4   	0.526281
981   	4   	0.678735
982   	4   	0.927542
983   	4   	0.788226
984   	3   	0.171299
985   	3   	0.182850
986   	3   	0.000925
987   	3   	0.276576
988   	3   	0.001213
989   	3   	0.001045
990   	3   	0.001515
991   	3   	0.001208
992   	3   	0.001255
993   	3   	0.001387
994   	3   	0.001732
995   	3   	0.001516
996   	3   	0.002028
997   	3   	0.001943
998   	3   	0.002132
999   	3   	0.002367
1000   	1   	0.009056
1001   	1   	0.024433
1002   	4   	0.329735
1003   	4   	0.483590
1004   	4   	0.497872
1005   	4   	0.725042
1006   	4   	0.791006
1007   	4   	0.622784
1008   	4   	0.692388
1009   	3   	0.157184
1010   	3   	0.200169
1011   	3   	0.001192
1012   	3   	0.001080
1013   	3   	0.000997
1014   	3   	0.000989
1015   	3   	0.001039
1016   	3   	0.001384
1017   	3   	0.001442
1018   	3   	0.001338
1019   	3   	0.001744
1020   	3   	0.001742
1021   	3   	0.001783
1022   	3   	0.002297
1023   	3   	0.002124
1024   	3   	0.001912
1025   	1   	0.005442
1026   	4   	0.116391
1027   	4   	0.297474
1028   	4   	0.807723
1029   	4   	0.391123
1030   	4   	0.541356
1031   	4   	0.620671
1032   	3   	0.096155
1033   	3   	0.330533
1034   	3   	0.269121
1035   	3   	0.153709
1036   	3   	0.091497
1037   	3   	0.000996
1038   	3   	0.001005
1039   	3   	0.001154
1040   	3   	0.001446
1041   	3   	0.001174
1042   	3   	0.001393
1043   	3   	0.001822
1044   	3   	0.001837
1045   	3   	0.001701
1046   	3   	0.001709
1047   	3   	0.002029
1048   	3   	0.002052
1049   	3   	0.001960
1050   	1   	0.006829
1051   	4   	0.166890
1052   	4   	0.301879
1053   	4   	0.573156
1054   	4   	0.621022
1055   	4   	0.754669
1056   	4   	0.442561
1057   	4   	0.653183
1058   	4   	0.751820
1059   	3   	0.361268
1060   	3   	0.349546
1061   	3   	0.000970
1062   	3   	0.001093
1063   	3   	0.001197
1064   	3   	0.001273
1065   	3   	0.001166
1066   	3   	0.001373
1067   	3   	0.001367
1068   	3   	0.001582
1069   	3   	0.001483
1070   	3   	0.001841
1071   	3   	0.001702
1072   	3   	0.001998
1073   	3   	0.002035
1074   	3   	0.001810
1075   	1   	0.009021
